,pcons,proq4,qmeanDisCo,seqlen,dan,FC,Neff,contact_L,DIS,FH,P
96,0.961,0.41,0.49200000000000005,121.0,0.508,0.173553719,1.81935,0.09090909090909091,0.18041600000000002,0.7851239669,0.0082644628
97,0.9570000000000001,0.42100000000000004,0.499,121.0,0.519,0.173553719,1.81935,0.09090909090909091,0.18041600000000002,0.7851239669,0.0082644628
98,0.9520000000000001,0.408,0.508,121.0,0.525,0.173553719,1.81935,0.09090909090909091,0.18041600000000002,0.7851239669,0.0082644628
99,0.898,0.396,0.509,121.0,0.503,0.173553719,1.81935,0.09090909090909091,0.18041600000000002,0.7851239669,0.0082644628
100,0.961,0.541,0.457,243.0,0.62,0.3580246914,8.39283,0.6790123456790124,0.48103,0.5185185185,0.037037037
101,0.9570000000000001,0.545,0.444,243.0,0.623,0.3580246914,8.39283,0.6790123456790124,0.48103,0.5185185185,0.037037037
102,0.9540000000000001,0.516,0.424,243.0,0.581,0.3580246914,8.39283,0.6790123456790124,0.48103,0.5185185185,0.037037037
103,0.95,0.527,0.423,243.0,0.596,0.3580246914,8.39283,0.6790123456790124,0.48103,0.5185185185,0.037037037
104,0.9390000000000001,0.529,0.45799999999999996,243.0,0.5870000000000001,0.3580246914,8.39283,0.6790123456790124,0.48103,0.5185185185,0.037037037
105,0.96,0.365,0.537,53.0,0.715,0.18867924530000002,7.2266,0.41509433962264153,0.117548,0.6037735849,0.0
106,0.956,0.39399999999999996,0.56,53.0,0.747,0.18867924530000002,7.2266,0.41509433962264153,0.117548,0.6037735849,0.0
107,0.953,0.33299999999999996,0.512,53.0,0.703,0.18867924530000002,7.2266,0.41509433962264153,0.117548,0.6037735849,0.0
108,0.927,0.375,0.544,53.0,0.664,0.18867924530000002,7.2266,0.41509433962264153,0.117548,0.6037735849,0.0
109,0.9159999999999999,0.39799999999999996,0.54,53.0,0.616,0.18867924530000002,7.2266,0.41509433962264153,0.117548,0.6037735849,0.0
110,0.956,0.142,0.534,39.0,0.484,0.5384615385,4.24866,0.10256410256410256,0.34625700000000004,0.4615384615,0.0769230769
111,0.95,0.14300000000000002,0.585,39.0,0.5,0.5384615385,4.24866,0.10256410256410256,0.34625700000000004,0.4615384615,0.0769230769
112,0.943,0.139,0.556,39.0,0.47,0.5384615385,4.24866,0.10256410256410256,0.34625700000000004,0.4615384615,0.0769230769
113,0.9359999999999999,0.134,0.542,39.0,0.47200000000000003,0.5384615385,4.24866,0.10256410256410256,0.34625700000000004,0.4615384615,0.0769230769
114,0.927,0.129,0.5920000000000001,39.0,0.46399999999999997,0.5384615385,4.24866,0.10256410256410256,0.34625700000000004,0.4615384615,0.0769230769
115,0.956,0.51,0.32899999999999996,96.0,0.384,0.5520833333,7.25173,0.7708333333333334,0.480687,0.3645833333,0.0625
116,0.956,0.541,0.36,96.0,0.41100000000000003,0.5520833333,7.25173,0.7708333333333334,0.480687,0.3645833333,0.0625
117,0.951,0.529,0.344,96.0,0.414,0.5520833333,7.25173,0.7708333333333334,0.480687,0.3645833333,0.0625
118,0.919,0.545,0.315,96.0,0.32899999999999996,0.5520833333,7.25173,0.7708333333333334,0.480687,0.3645833333,0.0625
119,0.9059999999999999,0.501,0.312,96.0,0.33399999999999996,0.5520833333,7.25173,0.7708333333333334,0.480687,0.3645833333,0.0625
